Длинна волны	% отражённого света																																	Итоговое полглощение 
243	99,532192																														2,055747			
242	100,198195																														2,018444			
241	100,273059																														2,04522			
240	100,199453																														1,955973			
239	99,795857																														1,92462			
238	99,899017																														1,909305			
237	100,180289																														1,839544			
236	99,935661																														1,810529			
235	100,167276																														1,80213			
234	100,142864																														1,795793			
233	99,72974																														1,753779			
232	99,732235																														1,616952			
231	99,866796																														1,522329			
230	100,077582																														1,481979			
229	99,824253																														1,362672			
228	99,890918																														1,302175			
227	100,357705																														1,260539			
226	100,185093																														1,17312			
225	100,230369																														1,10374			
224	100,256734																														1,187667			
223	99,637268																														1,093849			
222	99,794639																														1,063385			
221	99,281032																														1,014271			
220	99,568054																														0,865666			
219	100,086283																														0,780913			
218	99,686733																														0,788901			
217	99,329404																														0,800146			
216	100,088235																														0,750979			
215	99,755145																														0,832206			
214	100,019265																														0,800801			
213	100,095204																														0,676397			
212	98,85982																														0,777243			
211	99,317143																														0,931536			
210	100,495242																														0,85526			
209	99,825656																														1,043911			
208	99,182981																														0,933407			
207	100,220707																														0,927654			
206	100,030039																														1,15287			
205	99,422501																														1,274542			
204	99,538264																														1,591524			
203	100,622218																														1,709781			
202	99,561409																														2,247001			
201	99,180259																														2,343898			
200	99,522338																														2,521526			
